Date;Last Price;Volume;SMAVG (15)
17.10.2002;3172,46;118855392;101405184
16.10.2002;3008,93;115640192;101207840
15.10.2002;3048,27;122488560;101198912
14.10.2002;2850,11;79204400;100831368
11.10.2002;2930,74;135464096;101387376
10.10.2002;2733,19;116500208;107556496
09.10.2002;2597,88;107782008;106546776
08.10.2002;2622,09;97883872;106241232
07.10.2002;2667,39;87429984;105066672
04.10.2002;2714,62;86042960;102841792
03.10.2002;2813,3;69527280;103151168
02.10.2002;2926,74;107572416;103331024
01.10.2002;2865,23;99112648;100283872
30.09.2002;2769,03;105816272;97476224
27.09.2002;2918,9;71757456;93797904
26.09.2002;3020,6;115895200;93998528
25.09.2002;2962,5;115506312;92736312
24.09.2002;2873,21;116975408;91258480
23.09.2002;2914,25;87544568;90297544
20.09.2002;3065,73;228000800;87055864
19.09.2002;3007,47;101354480;75744200
18.09.2002;3124,92;103198872;74101768
17.09.2002;3289,13;80265400;72136264
16.09.2002;3319,05;54056788;71139176
13.09.2002;3361,28;90683632;70394760
12.09.2002;3421,87;72225072;68159528
11.09.2002;3584,69;61865208;68579928
10.09.2002;3494,69;56997844;71020544
09.09.2002;3429,22;50641504;72306528
06.09.2002;3485,68;74766808;73752936
05.09.2002;3354,71;96961960;73587168
04.09.2002;3425,9;93338800;72727576
03.09.2002;3398,99;102561424;71575416
02.09.2002;3609,41;38919332;69086816
30.08.2002;3712,94;58325864;69745704
29.08.2002;3660,95;76718064;71696464
28.08.2002;3682,84;73716280;73345584
27.08.2002;3851,34;65309080;75097256
26.08.2002;3783,84;42890524;78100640
23.08.2002;3828,26;57155112;80650168
22.08.2002;3906,55;78531168;82963256
21.08.2002;3868,17;98474392;84472640
20.08.2002;3768,51;76287600;85509536
19.08.2002;3837,67;72337688;86381432
16.08.2002;3684,69;72280248;87350200
15.08.2002;3665,74;84068088;89295304
14.08.2002;3589,92;76056432;92728824
13.08.2002;3683,21;65232400;98920064
12.08.2002;3647,13;48802648;101972216
09.08.2002;3760,86;87587280;105745904
08.08.2002;3679,26;101454800;106598184
07.08.2002;3465,54;99991384;107652488
06.08.2002;3568,64;110359872;109054880
05.08.2002;3332,65;81133384;110324768
02.08.2002;3532,49;91851512;111526040
01.08.2002;3606,45;101171928;112203760
31.07.2002;3700,14;114027760;113593616
30.07.2002;3878,94;89366104;113123248
29.07.2002;3859,78;86869192;114615496
26.07.2002;3579;101456768;113954704
25.07.2002;3520,46;135570848;114085392
24.07.2002;3632,66;168925104;109145808
23.07.2002;3515,83;111014704;104476128
22.07.2002;3691,43;105407936;103363632
19.07.2002;3891,88;100371416;101937048
18.07.2002;4100,75;117269416;101548336
17.07.2002;4092,82;121027304;100182024
16.07.2002;3977,75;129408160;100920712
15.07.2002;3912,51;99152456;98322912
12.07.2002;4130,8;102017344;99386424
11.07.2002;4118,5;122019776;112631888
10.07.2002;4190,22;106972248;111431024
09.07.2002;4369,76;111749712;109974040
08.07.2002;4442,33;76957368;107132912
05.07.2002;4483,03;103417128;106903496
04.07.2002;4258,62;61477020;107680088
03.07.2002;4138,15;98879960;108857784
02.07.2002;4195,95;94327200;107190136
01.07.2002;4366,81;84009192;105552016
28.06.2002;4382,56;94540760;103482008
27.06.2002;4259,43;96774720;102590464
26.06.2002;4099,05;132107688;100856792
25.06.2002;4202,97;90441152;95765536
24.06.2002;4127,21;115105136;94780520
21.06.2002;4232,4;300699264;90015224
20.06.2002;4245,68;104006768;75166632
19.06.2002;4354,82;85117504;72398808
18.06.2002;4433,85;69132800;71151632
17.06.2002;4475,1;73516104;71065864
14.06.2002;4303,85;115066032;68893640
13.06.2002;4470,14;79142528;65274896
12.06.2002;4510,19;73865192;65884356
11.06.2002;4606,09;69755424;67066928
10.06.2002;4589,26;52959024;66680444
07.06.2002;4610,18;81167608;65060388
06.06.2002;4657,52;70769640;65364052
05.06.2002;4624,31;55738852;65091264
04.06.2002;4625,79;75665936;67017524
03.06.2002;4747,95;43625664;67326208
31.05.2002;4818,3;77970448;68493344
30.05.2002;4761,96;62489416;67799584
29.05.2002;4881,8;66409808;66231644
28.05.2002;4918,58;67846264;67231664
27.05.2002;4961,54;40932804;68543160
24.05.2002;4899,13;60784812;68815536
23.05.2002;4879,5;88284448;71640552
22.05.2002;4919,5;91603744;72105040
21.05.2002;4984,61;63958188;70855168
20.05.2002;4998,99;28658172;70542312
17.05.2002;5036,41;85722592;74012104
16.05.2002;5047,45;66677808;75368960
15.05.2002;5072,39;84632768;75281608
14.05.2002;5049,08;80296232;74801848
13.05.2002;4975,48;61132660;73145496
10.05.2002;4871,7;67564024;72555112
09.05.2002;4966,48;38970332;73606184
